Reference; Quantity; Footprint; Value; Description; Voltage; Type; Tolerance; Size; Power; 
C101 C103 C201 C231 C301 C303 ;6;CAP-TH-D8mmP3.5mm;220u;'Aluminium electrolytic capacitor;'35V;';';'Pitch 3.5mm, Diameter 8mm;';
C102 C104 C202 C232 C302 C304 C314 C316 ;8;SMD-0805;100n;'Ceramic capacitor;'50V;'X7R;'10%;'0805;';
C204 C205 C211 C212 C218 C219 C225 C226 ;8;CAP-TH-D8mmP3.5mm;100u;'High quality capacitor, eg Panasonic FC;'35V;';';'Pitch 3.5mm, Diameter 8mm;';
C203 C206 C207 C210 C213 C214 C217 C220 C221 C224 C227 C228 ;12;SMD-0805;1n;'Ceramic capacitor;'50V;'C0G;'5%;'0805;';
C208 C209 C215 C216 C222 C223 C229 C230 C309 C310 C321 C322 ;12;CAP_TH_5mm_W3.5mm;100n;'Polyester film capacitor;'63V;'MKT;'5%;'5mm;';
C305 C306 C307 C308 C317 C318 C319 C320 ;8;SMD-0805;220p;'Ceramic capacitor;'50V;'C0G;'5%;'0805;';
C311 C312 C323 C324 ;4;CAP-TH-D8mmP3.5mm;220u;'High quality capacitor, eg Panasonic FC;'35V;';';'Pitch 3.5mm, Diameter 8mm;';
CN301 CN302 ;2;CON-6.35mm-ACJS-MHDR-FCR11155;CONN_6.35mm_SW_FCR11155_ACJS-MHDR;'6.35mm PCB Mount Jack - Examples Cliff FCR11155 or AMPHENOL ACJS-MHDR;';';';';';
D301 D302 D303 D304 D305 D306 D307 D308 ;8;DIODE-SOD-123;1N4148W;'Any 1N4148 SOD-123 Diode;';';';';';
P101 P102 ;2;CONN-SCREW-2WAY-7.5mm-7.62mm;CONN_2x1;'7.5mm or 7.62mm pitch 2 way screw terminal;';';';';';
P201 ;1;CONN_DIL_2X10_BOX_1MM;CONN_02X10;'2x10 2.54mm pitch box header;';';';';';
R202 R208 R211 R218 R221 R228 R231 R238 ;8;SMD-1206;1k3;'MELF0204 or 1206;';';'1%;'1206;'250mW;
R204 R209 R214 R219 R224 R229 R234 R239 ;8;SMD-1206;1k5;'MELF0204 or 1206;';';'1%;'1206;'250mW;
R212 R222 R232 R240 ;4;SMD-1206;22k;'MELF0204 or 1206;';';'1%;'1206;'250mW;
R203 R206 R213 R216 R223 R226 R233 R236 ;8;SMD-1206;100k;'MELF0204 or 1206;';';'1%;'1206;'250mW;
R201 R205 R207 R210 R215 R217 R220 R225 R227 R230 R235 R237 ;12;SMD-1206;100;'MELF0204 or 1206;';';'1%;'1206;'250mW;
R301 R302 R321 R322 R323 R324 R343 R344 ;8;SMD-1206;4k7;'MELF0204 or 1206;';';'1%;'1206;'250mW;
R303 R304 R305 R306 R313 R314 R315 R316 R317 R318 R325 R326 R327 R328 R335 R336 R337 R338 R339 R340 ;20;SMD-1206;10;'MELF0204 or 1206;';';'1%;'1206;'250mW;
R307 R308 R309 R310 R311 R312 R319 R320 R329 R330 R331 R332 R333 R334 R341 R342 ;16;SMD-1206;10k;'MELF0204 or 1206;';';'1%;'1206;'250mW;
TR301 TR302 TR305 TR306 ;4;IC-SOT-223;BCP56-16;'NPN Transistor;'80V;'1A;;;'1.5W;
TR303 TR304 TR307 TR308 ;4;IC-SOT-223;BCP53-16;'PNP Transistor;'80V;'1A;;;'1.5W;
U201 U202 ;2;IC_SOIC_8;TLE2082;Any high quality dual op-amp;'36V;;;;;
U301 U302 U303 U304 ;4;IC_SOIC_8;TLE2081;Any high quality single op-amp;'36V;;;;;
VR201 VR202 ;2;POT_DUAL_16mm_17mm_20mm;100k;'Any 16mm, 17mm or 20mm linear dual gang potentiometer;';';20%;';';
